name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Tra Telligman

            ","
                Record: 7-5-1
            ","
      6' 2""
    ","
      233 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Feb 07, 1965
      
    ","

  UFC - Ultimate Japan

   ",,Tra Telligman,,Brad Kohler,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        10:05

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      6 of 17
    ","
      12 of 24
    ","
      35%
    ","
      50%
    ","
      18 of 29
    ","
      74 of 93
    ","
      0 of 0
    ","
      3 of 6
    ","
      0%
    ","
      50%
    ","
      1
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      5 of 16
    ","
      9 of 21
    ","
      0 of 0
    ","
      3 of 3
    ","
      1 of 1
    ","
      0 of 0
    ","
      6 of 13
    ","
      3 of 6
    ","
      0 of 3
    ","
      0 of 1
    ","
      0 of 1
    ","
      9 of 17
    "
"
                Glover Teixeira

            ","
                Record: 30-7-0
            ","
      6' 2""
    ","
      205 lbs.
    ","
      76""
    ","
      Orthodox
    ","
      
        Oct 28, 1979
      
    ","

  WEC 3: All or Nothing

   ",,Eric Schwartz,Glover Teixeira ,,"
      
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        3:33

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Louis Taylor

            ","
                Record: 11-3-0
            ","
      5' 11""
    ","
      185 lbs.
    ","
      74""
    ","
      Orthodox
    ","
      
        May 12, 1979
      
    ","

  Strikeforce - Fedor vs. Rogers

   ",,Nate Moore,Louis Taylor ,,"
      
      Middleweight Bout
    ","
        ,
        2
      ","
        ,
        
        3:24

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Danielle Taylor

            ","
                Record: 9-4-0
            ","
      5' 0""
    ","
      115 lbs.
    ","
      60""
    ","
      Orthodox
    ","
      
        Oct 25, 1989
      
    ","

  UFC Fight Night: Rodriguez vs. Caceres

   ",Maryna Moroz ,,Danielle Taylor ,,"
      
      Women's Strawweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      17 of 251
    ","
      17 of 102
    ","
      6%
    ","
      16%
    ","
      17 of 251
    ","
      17 of 102
    ","
      0 of 0
    ","
      1 of 1
    ","
      0%
    ","
      100%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      13 of 238
    ","
      7 of 84
    ","
      1 of 7
    ","
      0 of 3
    ","
      3 of 6
    ","
      10 of 15
    ","
      17 of 251
    ","
      17 of 102
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Torrance Taylor

            ","
                Record: 10-7-1
            ","
      5' 7""
    ","
      155 lbs.
    ","
      --
    ","
      
    ","
      
        --
      
    ","

  Strikeforce Challengers 1

   ",Fabricio Camoes ,,,Torrance Taylor,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:21

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Danielle Taylor

            ","
                Record: 9-4-0
            ","
      5' 0""
    ","
      115 lbs.
    ","
      60""
    ","
      Orthodox
    ","
      
        Oct 25, 1989
      
    ","

  UFC Fight Night: Whittaker vs. Brunson

   ",Seohee Ham ,,Danielle Taylor ,,"
      
      Women's Strawweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      31 of 103
    ","
      45 of 162
    ","
      30%
    ","
      27%
    ","
      32 of 104
    ","
      45 of 162
    ","
      0 of 1
    ","
      0 of 2
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      24 of 93
    ","
      37 of 150
    ","
      6 of 9
    ","
      5 of 8
    ","
      1 of 1
    ","
      3 of 4
    ","
      31 of 103
    ","
      45 of 162
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Jesse Taylor

            ","
                Record: 33-15-0
            ","
      6' 0""
    ","
      170 lbs.
    ","
      73""
    ","
      Orthodox
    ","
      
        Jan 02, 1983
      
    ","

  UFC: Silva vs Irvin

   ",CB Dollaway ,,Jesse Taylor ,,"
      ,
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:58

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      4 of 7
    ","
      4 of 13
    ","
      57%
    ","
      30%
    ","
      9 of 12
    ","
      25 of 40
    ","
      0 of 1
    ","
      1 of 3
    ","
      0%
    ","
      33%
    ","
      2
    ","
      0
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      2 of 5
    ","
      2 of 11
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 1
    ","
      0 of 2
    ","
      0 of 2
    ","
      3 of 3
    ","
      3 of 4
    ","
      1 of 2
    ","
      1 of 7
    "
"
                Paul Taylor

            ","
                Record: 11-6-1 (1 NC)
            ","
      6' 0""
    ","
      155 lbs.
    ","
      72""
    ","
      Orthodox
    ","
      
        Dec 15, 1979
      
    ","

  UFC 70: Nations Collide

   ",Paul Taylor ,,,Edilberto de Oliveira,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        0:37

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      78 of 198
    ","
      46 of 142
    ","
      39%
    ","
      32%
    ","
      80 of 200
    ","
      46 of 142
    ","
      0 of 0
    ","
      0 of 5
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      44 of 153
    ","
      20 of 110
    ","
      6 of 7
    ","
      15 of 15
    ","
      28 of 38
    ","
      11 of 17
    ","
      71 of 183
    ","
      45 of 139
    ","
      4 of 5
    ","
      1 of 3
    ","
      3 of 10
    ","
      0 of 0
    "
"
                Brad Tavares

            ","
                Record: 17-7-0
            ","
      6' 1""
    ","
      185 lbs.
    ","
      74""
    ","
      Orthodox
    ","
      
        Dec 21, 1987
      
    ","

  The Ultimate Fighter: Team Liddell vs Team Ortiz Finale

   ",Brad Tavares ,,Seth Baczynski ,,"
      
      Middleweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      18 of 34
    ","
      22 of 44
    ","
      52%
    ","
      50%
    ","
      54 of 74
    ","
      46 of 71
    ","
      3 of 6
    ","
      0 of 2
    ","
      50%
    ","
      0%
    ","
      0
    ","
      3
    ","
      4
    ","
      0
    ","
      1
    ","
      0
    ","
      13 of 29
    ","
      16 of 32
    ","
      4 of 4
    ","
      3 of 7
    ","
      1 of 1
    ","
      3 of 5
    ","
      6 of 16
    ","
      6 of 18
    ","
      1 of 3
    ","
      7 of 13
    ","
      11 of 15
    ","
      9 of 13
    "
"
                Jeremy Tavares

            ","
                Record: 1-5-0
            ","
      --
    ","
      135 lbs.
    ","
      --
    ","
      
    ","
      
        --
      
    ","

  Strikeforce - Young Guns 3

   ",David Rasouri ,,,Jeremy Tavares,"
      
       Bout
    ","
        ,
        3
      ","
        ,
        
        3:00

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Deividas Taurosevicius

            ","
                Record: 13-5-0
            ","
      5' 9""
    ","
      145 lbs.
    ","
      68""
    ","
      Southpaw
    ","
      
        Aug 28, 1977
      
    ","

  WEC 43: Cerrone vs. Henderson

   ",,Deividas Taurosevicius,,Javier Vazquez,"
      
      Featherweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      39 of 108
    ","
      37 of 97
    ","
      36%
    ","
      38%
    ","
      61 of 131
    ","
      80 of 142
    ","
      0 of 1
    ","
      2 of 3
    ","
      0%
    ","
      66%
    ","
      0
    ","
      2
    ","
      0
    ","
      4
    ","
      0
    ","
      0
    ","
      21 of 79
    ","
      30 of 81
    ","
      1 of 6
    ","
      6 of 14
    ","
      17 of 23
    ","
      1 of 2
    ","
      31 of 92
    ","
      20 of 80
    ","
      2 of 4
    ","
      0 of 0
    ","
      6 of 12
    ","
      17 of 17
    "
"
                Miesha Tate

            ","
                Record: 18-7-0
            ","
      5' 6""
    ","
      135 lbs.
    ","
      65""
    ","
      Orthodox
    ","
      
        Aug 18, 1986
      
    ","

  Strikeforce - Melendez vs. Thomson

   ",Miesha Tate ,,,Elaina Maxwell,"
      
      Women's Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        3:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      6 of 9
    ","
      9 of 10
    ","
      66%
    ","
      90%
    ","
      32 of 62
    ","
      24 of 32
    ","
      2 of 4
    ","
      0 of 0
    ","
      50%
    ","
      0%
    ","
      1
    ","
      0
    ","
      4
    ","
      1
    ","
      0
    ","
      0
    ","
      6 of 9
    ","
      5 of 6
    ","
      0 of 0
    ","
      4 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 2
    ","
      6 of 7
    ","
      0 of 0
    ","
      3 of 3
    ","
      6 of 7
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Stevenson vs Guillard

   ",Thiago Tavares ,,Naoyuki Kotani ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      21 of 28
    ","
      12 of 30
    ","
      75%
    ","
      40%
    ","
      159 of 175
    ","
      72 of 94
    ","
      4 of 6
    ","
      1 of 2
    ","
      66%
    ","
      50%
    ","
      2
    ","
      1
    ","
      7
    ","
      2
    ","
      1
    ","
      3
    ","
      13 of 18
    ","
      3 of 17
    ","
      7 of 7
    ","
      1 of 2
    ","
      1 of 3
    ","
      8 of 11
    ","
      5 of 11
    ","
      8 of 22
    ","
      0 of 0
    ","
      3 of 5
    ","
      16 of 17
    ","
      1 of 3
    "
"
                Gary Tapusoa

            ","
                Record: 6-2-0
            ","
      5' 7""
    ","
      185 lbs.
    ","
      --
    ","
      
    ","
      
        --
      
    ","

  Strikeforce Challengers 5

   ",,Darryl Cobb,,Gary Tapusoa,"
      
      Middleweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Stout vs Fisher

   ",Thiago Tavares ,,,Jason Black,"
      ,
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:49

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      11 of 18
    ","
      0 of 4
    ","
      61%
    ","
      0%
    ","
      52 of 64
    ","
      16 of 20
    ","
      2 of 4
    ","
      0 of 0
    ","
      50%
    ","
      0%
    ","
      2
    ","
      2
    ","
      6
    ","
      2
    ","
      0
    ","
      1
    ","
      10 of 17
    ","
      0 of 2
    ","
      1 of 1
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 3
    ","
      0 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      9 of 15
    ","
      0 of 1
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 76: Knockout

   ",,Tyson Griffin,Thiago Tavares ,,"
      ,
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      29 of 66
    ","
      6 of 21
    ","
      43%
    ","
      28%
    ","
      89 of 134
    ","
      32 of 49
    ","
      2 of 6
    ","
      4 of 9
    ","
      33%
    ","
      44%
    ","
      1
    ","
      4
    ","
      0
    ","
      6
    ","
      1
    ","
      2
    ","
      15 of 50
    ","
      1 of 15
    ","
      3 of 5
    ","
      5 of 6
    ","
      11 of 11
    ","
      0 of 0
    ","
      5 of 29
    ","
      2 of 14
    ","
      15 of 17
    ","
      4 of 7
    ","
      9 of 20
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Swick vs Burkman

   ",Thiago Tavares ,,,Michihiro Omigawa,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      19 of 43
    ","
      11 of 32
    ","
      44%
    ","
      34%
    ","
      68 of 95
    ","
      90 of 112
    ","
      7 of 14
    ","
      1 of 1
    ","
      50%
    ","
      100%
    ","
      0
    ","
      2
    ","
      1
    ","
      1
    ","
      1
    ","
      2
    ","
      14 of 33
    ","
      6 of 27
    ","
      3 of 7
    ","
      0 of 0
    ","
      2 of 3
    ","
      5 of 5
    ","
      11 of 25
    ","
      1 of 12
    ","
      4 of 11
    ","
      1 of 6
    ","
      4 of 7
    ","
      9 of 14
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 94: St-Pierre vs Penn 2

   ",Thiago Tavares ,,Manvel Gamburyan ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      27 of 64
    ","
      26 of 86
    ","
      42%
    ","
      30%
    ","
      70 of 115
    ","
      66 of 129
    ","
      3 of 7
    ","
      1 of 5
    ","
      42%
    ","
      20%
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      24 of 60
    ","
      18 of 76
    ","
      3 of 4
    ","
      3 of 4
    ","
      0 of 0
    ","
      5 of 6
    ","
      17 of 44
    ","
      18 of 71
    ","
      1 of 3
    ","
      3 of 4
    ","
      9 of 17
    ","
      5 of 11
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 85: Bedlam

   ",Matt Wiman ,,Thiago Tavares ,,"
      ,
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        1:57

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      18 of 34
    ","
      13 of 35
    ","
      52%
    ","
      37%
    ","
      54 of 73
    ","
      39 of 77
    ","
      2 of 4
    ","
      1 of 3
    ","
      50%
    ","
      33%
    ","
      1
    ","
      3
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      12 of 26
    ","
      11 of 32
    ","
      6 of 7
    ","
      2 of 3
    ","
      0 of 1
    ","
      0 of 0
    ","
      8 of 22
    ","
      4 of 16
    ","
      7 of 9
    ","
      6 of 9
    ","
      3 of 3
    ","
      3 of 10
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Maynard vs Diaz

   ",Thiago Tavares ,,Nik Lentz ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    D
  ","
    D
  ","
      0
    ","
      0
    ","
      55 of 146
    ","
      71 of 206
    ","
      37%
    ","
      34%
    ","
      73 of 164
    ","
      95 of 231
    ","
      1 of 6
    ","
      4 of 13
    ","
      16%
    ","
      30%
    ","
      1
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      38 of 122
    ","
      36 of 162
    ","
      11 of 17
    ","
      18 of 24
    ","
      6 of 7
    ","
      17 of 20
    ","
      46 of 133
    ","
      60 of 180
    ","
      9 of 13
    ","
      9 of 24
    ","
      0 of 0
    ","
      2 of 2
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 88: Breakthrough

   ",,Kurt Pellegrino,Thiago Tavares ,,"
      ,
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      2
    ","
      0
    ","
      61 of 97
    ","
      18 of 72
    ","
      62%
    ","
      25%
    ","
      100 of 138
    ","
      86 of 146
    ","
      1 of 2
    ","
      1 of 11
    ","
      50%
    ","
      9%
    ","
      1
    ","
      0
    ","
      5
    ","
      0
    ","
      0
    ","
      0
    ","
      50 of 85
    ","
      13 of 62
    ","
      8 of 9
    ","
      3 of 5
    ","
      3 of 3
    ","
      2 of 5
    ","
      22 of 46
    ","
      12 of 58
    ","
      9 of 15
    ","
      0 of 2
    ","
      30 of 36
    ","
      6 of 12
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 119: Mir vs Cro Cop

   ",Thiago Tavares ,,,Pat Audinwood,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:47

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      7 of 11
    ","
      3 of 8
    ","
      63%
    ","
      37%
    ","
      50 of 63
    ","
      6 of 13
    ","
      2 of 2
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      5 of 9
    ","
      1 of 6
    ","
      2 of 2
    ","
      2 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 3
    ","
      3 of 8
    ","
      0 of 0
    ","
      0 of 0
    ","
      6 of 8
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 134: Silva vs Okami

   ",Thiago Tavares ,,Spencer Fisher ,,"
      
      Lightweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:51

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      10 of 26
    ","
      3 of 9
    ","
      38%
    ","
      33%
    ","
      109 of 140
    ","
      34 of 42
    ","
      3 of 7
    ","
      0 of 0
    ","
      42%
    ","
      0%
    ","
      0
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      0
    ","
      8 of 24
    ","
      1 of 7
    ","
      2 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 1
    ","
      4 of 10
    ","
      2 of 8
    ","
      0 of 0
    ","
      1 of 1
    ","
      6 of 16
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC on FX: Belfort vs Bisping

   ",Thiago Tavares ,,Khabib Nurmagomedov ,,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:55

      ","
    L
  ","
    W
  ","
      0
    ","
      1
    ","
      2 of 10
    ","
      22 of 31
    ","
      20%
    ","
      70%
    ","
      2 of 10
    ","
      22 of 31
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0 of 7
    ","
      22 of 29
    ","
      1 of 2
    ","
      0 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      2 of 10
    ","
      5 of 12
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      17 of 19
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC 142: Aldo vs Mendes

   ",Thiago Tavares ,,Sam Stout ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      50 of 128
    ","
      45 of 172
    ","
      39%
    ","
      26%
    ","
      57 of 136
    ","
      52 of 179
    ","
      2 of 11
    ","
      0 of 0
    ","
      18%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      22 of 92
    ","
      18 of 137
    ","
      24 of 30
    ","
      22 of 27
    ","
      4 of 6
    ","
      5 of 8
    ","
      49 of 127
    ","
      40 of 165
    ","
      1 of 1
    ","
      5 of 7
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Bader vs Saint Preux

   ",Thiago Tavares ,,Robert Peralta ,,"
      ,
      Featherweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:27

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      18 of 31
    ","
      0 of 2
    ","
      58%
    ","
      0%
    ","
      45 of 63
    ","
      3 of 5
    ","
      2 of 3
    ","
      0 of 0
    ","
      66%
    ","
      0%
    ","
      1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      0
    ","
      18 of 31
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 2
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      18 of 29
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Belfort vs Henderson

   ",Thiago Tavares ,,Justin Salas ,,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:38

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      7 of 11
    ","
      4 of 17
    ","
      63%
    ","
      23%
    ","
      20 of 24
    ","
      14 of 27
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      1
    ","
      0
    ","
      2
    ","
      1
    ","
      0
    ","
      0
    ","
      4 of 8
    ","
      3 of 12
    ","
      3 of 3
    ","
      0 of 1
    ","
      0 of 0
    ","
      1 of 4
    ","
      5 of 9
    ","
      1 of 11
    ","
      1 of 1
    ","
      0 of 1
    ","
      1 of 1
    ","
      3 of 5
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale

   ",Dooho Choi ,,Thiago Tavares ,,"
      ,
      Featherweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:42

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      4 of 7
    ","
      2 of 5
    ","
      57%
    ","
      40%
    ","
      6 of 11
    ","
      13 of 17
    ","
      0 of 0
    ","
      2 of 2
    ","
      0%
    ","
      100%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      4 of 7
    ","
      0 of 2
    ","
      0 of 0
    ","
      1 of 2
    ","
      0 of 0
    ","
      1 of 1
    ","
      3 of 6
    ","
      0 of 3
    ","
      0 of 0
    ","
      2 of 2
    ","
      1 of 1
    ","
      0 of 0
    "
"
                Thiago Tavares

            ","
                Record: 24-7-1
            ","
      5' 7""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Nov 08, 1984
      
    ","

  UFC Fight Night: Belfort vs Henderson

   ",Clay Guida ,,Thiago Tavares ,,"
      ,
      Featherweight Bout
    ","
        ,
        1
      ","
        ,
        
        0:39

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      3 of 11
    ","
      2 of 7
    ","
      27%
    ","
      28%
    ","
      3 of 11
    ","
      2 of 7
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      2 of 10
    ","
      2 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 0
    ","
      3 of 11
    ","
      2 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Miesha Tate

            ","
                Record: 18-7-0
            ","
      5' 6""
    ","
      135 lbs.
    ","
      65""
    ","
      Orthodox
    ","
      
        Aug 18, 1986
      
    ","

  Strikeforce Challengers 1

   ",Sarah Kaufman ,,Miesha Tate ,,"
      
      Women's Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        3:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      90 of 169
    ","
      26 of 91
    ","
      53%
    ","
      28%
    ","
      127 of 211
    ","
      49 of 116
    ","
      0 of 0
    ","
      2 of 9
    ","
      0%
    ","
      22%
    ","
      0
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      78 of 156
    ","
      13 of 72
    ","
      9 of 10
    ","
      11 of 17
    ","
      3 of 3
    ","
      2 of 2
    ","
      67 of 146
    ","
      24 of 88
    ","
      7 of 7
    ","
      2 of 2
    ","
      16 of 16
    ","
      0 of 1
    "
"
                Miesha Tate

            ","
                Record: 18-7-0
            ","
      5' 6""
    ","
      135 lbs.
    ","
      65""
    ","
      Orthodox
    ","
      
        Aug 18, 1986
      
    ","

  Strikeforce Challengers 7

   ",,Zoila Frausto,Miesha Tate ,,"
      
      Women's Bantamweight Bout
    ","
        ,
        2
      ","
        ,
        
        4:09

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      7 of 22
    ","
      15 of 32
    ","
      31%
    ","
      46%
    ","
      16 of 32
    ","
      36 of 59
    ","
      0 of 0
    ","
      3 of 7
    ","
      0%
    ","
      42%
    ","
      0
    ","
      4
    ","
      0
    ","
      6
    ","
      0
    ","
      0
    ","
      5 of 20
    ","
      9 of 26
    ","
      1 of 1
    ","
      5 of 5
    ","
      1 of 1
    ","
      1 of 1
    ","
      7 of 22
    ","
      11 of 26
    ","
      0 of 0
    ","
      2 of 2
    ","
      0 of 0
    ","
      2 of 4
    "
